date,state,daily_partial,daily_full,daily_booster,daily_booster2,daily,cumul_partial,cumul_full,cumul_booster,cumul_booster2,cumul
2021-03-03,W.P. Labuan,298,2,0,0,300,1639,2,0,0,1641
2021-03-03,W.P. Putrajaya,482,0,0,0,482,1507,0,0,0,1507
2021-03-04,Johor,1972,3,0,0,1975,8594,4,0,0,8598
2021-03-04,Kedah,724,1,0,0,725,5209,4,0,0,5213
2021-03-04,Kelantan,3408,0,0,0,3408,11631,0,0,0,11631
2021-03-04,Melaka,989,0,0,0,989,3605,0,0,0,3605
2021-03-04,Negeri Sembilan,1231,0,0,0,1231,4360,1,0,0,4361
2021-03-04,Pahang,1131,0,0,0,1131,8522,1,0,0,8523
2021-03-04,Perak,1026,0,0,0,1026,8681,3,0,0,8684
2021-03-04,Perlis,298,0,0,0,298,1890,0,0,0,1890
2021-03-04,Pulau Pinang,1122,0,0,0,1122,4061,0,0,0,4061
2021-03-04,Sabah,1762,4,0,0,1766,3616,6,0,0,3622
2021-03-04,Sarawak,389,5,0,0,394,11458,24,0,0,11482
2021-03-04,Selangor,2265,1,0,0,2266,6676,4,0,0,6680
2021-03-04,Terengganu,4,0,0,0,4,4815,1,0,0,4816
2021-03-04,W.P. Kuala Lumpur,2433,3,0,0,2436,11023,3,0,0,11026
2021-03-04,W.P. Labuan,209,0,0,0,209,1848,2,0,0,1850
2021-03-04,W.P. Putrajaya,548,0,0,0,548,2055,0,0,0,2055
2021-03-05,Johor,337,0,0,0,337,8931,4,0,0,8935
2021-03-05,Kedah,137,2,0,0,139,5346,6,0,0,5352
2021-03-05,Kelantan,742,0,0,0,742,12373,0,0,0,12373
2021-03-05,Melaka,573,0,0,0,573,4178,0,0,0,4178
2021-03-05,Negeri Sembilan,536,0,0,0,536,4896,1,0,0,4897
2021-03-05,Pahang,2058,0,0,0,2058,10580,1,0,0,10581
2021-03-05,Perak,1019,0,0,0,1019,9700,3,0,0,9703
2021-03-05,Perlis,330,0,0,0,330,2220,0,0,0,2220
2021-03-05,Pulau Pinang,1033,0,0,0,1033,5094,0,0,0,5094
2021-03-05,Sabah,3088,0,0,0,3088,6704,6,0,0,6710
2021-03-05,Sarawak,1333,4,0,0,1337,12791,28,0,0,12819
2021-03-05,Selangor,2469,0,0,0,2469,9145,4,0,0,9149
2021-03-05,Terengganu,62,0,0,0,62,4877,1,0,0,4878
2021-03-05,W.P. Kuala Lumpur,253,0,0,0,253,11276,3,0,0,11279
2021-03-05,W.P. Labuan,165,0,0,0,165,2013,2,0,0,2015
2021-03-05,W.P. Putrajaya,236,0,0,0,236,2291,0,0,0,2291
2021-03-06,Johor,718,1,0,0,719,9649,5,0,0,9654
2021-03-06,Kedah,109,0,0,0,109,5455,6,0,0,5461
2021-03-06,Kelantan,0,0,0,0,0,12373,0,0,0,12373
2021-03-06,Melaka,0,0,0,0,0,4178,0,0,0,4178
2021-03-06,Negeri Sembilan,0,0,0,0,0,4896,1,0,0,4897
2021-03-06,Pahang,3247,0,0,0,3247,13827,1,0,0,13828
2021-03-06,Perak,786,0,0,0,786,10486,3,0,0,10489
2021-03-06,Perlis,0,0,0,0,0,2220,0,0,0,2220
2021-03-06,Pulau Pinang,120,0,0,0,120,5214,0,0,0,5214
2021-03-06,Sabah,3937,0,0,0,3937,10641,6,0,0,10647
2021-03-06,Sarawak,3650,3,0,0,3653,16441,31,0,0,16472
2021-03-06,Selangor,3086,0,0,0,3086,12231,4,0,0,12235
2021-03-06,Terengganu,106,0,0,0,106,4983,1,0,0,4984
2021-03-06,W.P. Kuala Lumpur,0,0,0,0,0,11276,3,0,0,11279
2021-03-06,W.P. Labuan,83,0,0,0,83,2096,2,0,0,2098
2021-03-06,W.P. Putrajaya,2,0,0,0,2,2293,0,0,0,2293
2021-03-07,Johor,1210,1,0,0,1211,10859,6,0,0,10865
2021-03-07,Kedah,857,1,0,0,858,6312,7,0,0,6319
2021-03-07,Kelantan,223,0,0,0,223,12596,0,0,0,12596
2021-03-07,Melaka,0,0,0,0,0,4178,0,0,0,4178
2021-03-07,Negeri Sembilan,0,0,0,0,0,4896,1,0,0,4897
2021-03-07,Pahang,661,0,0,0,661,14488,1,0,0,14489
2021-03-07,Perak,3,0,0,0,3,10489,3,0,0,10492
2021-03-07,Perlis,0,0,0,0,0,2220,0,0,0,2220
2021-03-07,Pulau Pinang,120,0,0,0,120,5334,0,0,0,5334
2021-03-07,Sabah,2369,2,0,0,2371,13010,8,0,0,13018
2021-03-07,Sarawak,4354,2,0,0,4356,20795,33,0,0,20828
2021-03-07,Selangor,354,0,0,0,354,12585,4,0,0,12589
2021-03-07,Terengganu,2355,1,0,0,2356,7338,2,0,0,7340
2021-03-07,W.P. Kuala Lumpur,0,0,0,0,0,11276,3,0,0,11279
2021-03-07,W.P. Labuan,100,0,0,0,100,2196,2,0,0,2198
2021-03-07,W.P. Putrajaya,0,0,0,0,0,2293,0,0,0,2293
2021-03-08,Johor,3036,2,0,0,3038,13895,8,0,0,13903
2021-03-08,Kedah,3114,0,0,0,3114,9426,7,0,0,9433
2021-03-08,Kelantan,1205,0,0,0,1205,13801,0,0,0,13801
2021-03-08,Melaka,100,0,0,0,100,4278,0,0,0,4278
2021-03-08,Negeri Sembilan,1125,0,0,0,1125,6021,1,0,0,6022
2021-03-08,Pahang,1053,0,0,0,1053,15541,1,0,0,15542
2021-03-08,Perak,2250,0,0,0,2250,12739,3,0,0,12742
2021-03-08,Perlis,840,2,0,0,842,3060,2,0,0,3062
2021-03-08,Pulau Pinang,1200,2,0,0,1202,6534,2,0,0,6536
2021-03-08,Sabah,2055,0,0,0,2055,15065,8,0,0,15073
2021-03-08,Sarawak,3170,2,0,0,3172,23965,35,0,0,24000
2021-03-08,Selangor,3009,7,0,0,3016,15594,11,0,0,15605
2021-03-08,Terengganu,2234,1,0,0,2235,9572,3,0,0,9575
2021-03-08,W.P. Kuala Lumpur,2498,1,0,0,2499,13774,4,0,0,13778
2021-03-08,W.P. Labuan,32,0,0,0,32,2228,2,0,0,2230
2021-03-08,W.P. Putrajaya,285,0,0,0,285,2578,0,0,0,2578
2021-03-09,Johor,2129,1,0,0,2130,16024,9,0,0,16033
2021-03-09,Kedah,2296,0,0,0,2296,11722,7,0,0,11729
2021-03-09,Kelantan,1019,0,0,0,1019,14820,0,0,0,14820
