index,_id,date,state,cases_new,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly
203,66652ec1293428f1f44df27d,2020-02-06,Selangor,0,0,0,0,0,0,0,0,0
204,66652ec1293428f1f44df27e,2020-02-06,Terengganu,0,0,0,0,0,0,0,0,0
205,66652ec1293428f1f44df27f,2020-02-06,W.P. Kuala Lumpur,1,1,0,0,0,0,0,1,0
206,66652ec1293428f1f44df280,2020-02-06,W.P. Labuan,0,0,0,0,0,0,0,0,0
207,66652ec1293428f1f44df281,2020-02-06,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
208,66652ec1293428f1f44df282,2020-02-07,Johor,1,1,0,0,0,0,0,1,0
209,66652ec1293428f1f44df283,2020-02-07,Kedah,0,0,0,0,0,0,0,0,0
210,66652ec1293428f1f44df284,2020-02-07,Kelantan,0,0,0,0,0,0,0,0,0
211,66652ec1293428f1f44df285,2020-02-07,Melaka,0,0,0,0,0,0,0,0,0
212,66652ec1293428f1f44df286,2020-02-07,Negeri Sembilan,0,0,0,0,0,0,0,0,0
213,66652ec1293428f1f44df287,2020-02-07,Pahang,0,0,0,0,0,0,0,0,0
214,66652ec1293428f1f44df288,2020-02-07,Perak,0,0,0,0,0,0,0,0,0
215,66652ec1293428f1f44df289,2020-02-07,Perlis,0,0,0,0,0,0,0,0,0
216,66652ec1293428f1f44df28a,2020-02-07,Pulau Pinang,0,0,0,0,0,0,0,0,0
217,66652ec1293428f1f44df28b,2020-02-07,Sabah,0,0,0,0,0,0,0,0,0
218,66652ec1293428f1f44df28c,2020-02-07,Sarawak,0,0,0,0,0,0,0,0,0
219,66652ec1293428f1f44df28d,2020-02-07,Selangor,0,0,0,0,0,0,0,0,0
220,66652ec1293428f1f44df28e,2020-02-07,Terengganu,0,0,0,0,0,0,0,0,0
221,66652ec1293428f1f44df28f,2020-02-07,W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0
222,66652ec1293428f1f44df290,2020-02-07,W.P. Labuan,0,0,0,0,0,0,0,0,0
223,66652ec1293428f1f44df291,2020-02-07,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
224,66652ec1293428f1f44df292,2020-02-08,Johor,0,0,0,0,0,0,0,0,0
225,66652ec1293428f1f44df293,2020-02-08,Kedah,0,0,0,0,0,0,0,0,0
226,66652ec1293428f1f44df294,2020-02-08,Kelantan,0,0,0,0,0,0,0,0,0
227,66652ec1293428f1f44df295,2020-02-08,Melaka,0,0,0,0,0,0,0,0,0
228,66652ec1293428f1f44df296,2020-02-08,Negeri Sembilan,0,0,0,0,0,0,0,0,0
229,66652ec1293428f1f44df297,2020-02-08,Pahang,0,0,0,0,0,0,0,0,0
230,66652ec1293428f1f44df298,2020-02-08,Perak,0,0,0,0,0,0,0,0,0
231,66652ec1293428f1f44df299,2020-02-08,Perlis,0,0,0,0,0,0,0,0,0
232,66652ec1293428f1f44df29a,2020-02-08,Pulau Pinang,0,0,0,0,0,0,0,0,0
233,66652ec1293428f1f44df29b,2020-02-08,Sabah,0,0,0,0,0,0,0,0,0
234,66652ec1293428f1f44df29c,2020-02-08,Sarawak,0,0,0,0,0,0,0,0,0
235,66652ec1293428f1f44df29d,2020-02-08,Selangor,0,0,0,0,0,0,0,0,0
236,66652ec1293428f1f44df29e,2020-02-08,Terengganu,0,0,0,0,0,0,0,0,0
237,66652ec1293428f1f44df29f,2020-02-08,W.P. Kuala Lumpur,1,1,0,0,0,0,0,0,1
238,66652ec1293428f1f44df2a0,2020-02-08,W.P. Labuan,0,0,0,0,0,0,0,0,0
239,66652ec1293428f1f44df2a1,2020-02-08,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
240,66652ec1293428f1f44df2a2,2020-02-09,Johor,0,0,0,0,0,0,0,0,0
241,66652ec1293428f1f44df2a3,2020-02-09,Kedah,0,0,0,0,0,0,0,0,0
242,66652ec1293428f1f44df2a4,2020-02-09,Kelantan,0,0,0,0,0,0,0,0,0
243,66652ec1293428f1f44df2a5,2020-02-09,Melaka,0,0,0,0,0,0,0,0,0
